Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2018-03-09,9267.07,9410.0,8329.0,9227.0,64112.291407,567082901.1319405,462712,31166.41484800,275735446.01075993,0
2018-03-10,9230.0,9490.0,8667.07,8770.22,37180.012857,341210248.41481787,288066,17639.82727600,161991786.13432976,0
2018-03-11,8770.22,9740.0,8450.0,9533.57,44325.973386,403491260.9275316,333367,21150.20694400,192897625.61146572,0
2018-03-12,9533.57,9888.88,8780.0,9131.34,42230.77793,395562731.8650373,336642,19369.69775600,181454623.85622354,0
2018-03-13,9131.34,9474.0,8823.0,9150.0,40191.409358,367353984.7132836,342734,19856.45704700,181534440.77529468,0
2018-03-14,9151.92,9333.78,7900.28,8170.0,49708.094108,426058009.75594646,399127,22883.32972500,196344166.24842267,0
2018-03-15,8184.01,8430.0,7650.0,8240.98,52291.022277,422130717.47310126,400529,26414.16025100,213358245.67440191,0
2018-03-16,8240.98,8611.64,7900.0,8260.0,38815.409893,322355002.1651949,255807,20049.43399300,166563494.40168037,0
2018-03-17,8260.0,8348.62,7721.99,7824.8,33110.206329,265973111.61762854,292041,15677.25736100,125987772.43325072,0
2018-03-18,7824.01,8317.4,7322.0,8189.99,59488.231711,458311733.5188204,423336,28216.51079400,217530802.61982481,0
2018-03-19,8189.0,8705.23,8088.4,8600.0,55297.084942,462654338.98212785,360414,27263.32476400,228208487.54690211,0
2018-03-20,8595.01,9050.0,8280.0,8909.98,44865.105835,387879393.47061425,298261,22849.03523800,197422831.30082304,0
2018-03-21,8909.96,9177.01,8750.6,8885.0,39972.405371,358157473.3612324,293696,19047.48679900,170758402.39723507,0
2018-03-22,8884.82,9100.0,8465.1,8722.9,40617.556809,354804129.3433086,276449,19567.56361800,171050710.21250019,0
2018-03-23,8720.0,8909.0,8269.0,8898.03,39991.007666,340755592.544531,278571,20106.78938700,171487640.92907605,0
2018-03-24,8898.04,8999.95,8491.0,8546.86,35466.609572,313254829.9051367,270300,17302.10809000,152967779.86486967,0
2018-03-25,8531.25,8669.85,8365.77,8470.15,29001.769316,247023172.30795503,215660,14379.26436200,122528263.98281600,0
2018-03-26,8470.14,8514.89,7831.0,8134.23,44033.59566,358429758.87319523,310462,20957.25692000,170723432.32235477,0
2018-03-27,8134.22,8215.94,7730.0,7795.51,37427.64805,297609656.44043654,266540,18462.38210500,146860645.03540613,0
2018-03-28,7795.51,8109.0,7728.0,7949.3,26401.33167,209186093.18317956,183620,13685.41714300,108484584.61222104,0
